drug_name,targets,max_clinical_stage,real_distance,z_score
QUIZARTINIB,CSF1R; PDGFRB,APPROVAL,0.5,-1.5667256310956927
SPIRAPRIL,ACE,APPROVAL,0.0,-1.5646967316604727
ENALAPRIL,ACE,APPROVAL,0.0,-1.5459076649252297
AVE-9633,CD33,PHASE_1,0.0,-1.5095325516828593
SARILUMAB,IL6R,APPROVAL,0.0,-1.4919136877222166
CAPTOPRIL,ACE,APPROVAL,0.0,-1.4919136877222166
ILEPATRIL,ACE,PHASE_2_3,0.0,-1.4746535778287642
LISINOPRIL ANHYDROUS,ACE,PHASE_3,0.0,-1.4577379737113252
BENAZEPRIL,ACE,APPROVAL,0.0,-1.4411533842457844
ENMD-2076,CSF1R; KDR,PHASE_2,0.5,-1.431789207065373
CILAZAPRIL,ACE,APPROVAL,0.0,-1.42488702369803
FOSINOPRIL SODIUM,ACE,APPROVAL,0.0,-1.4089267641952408
DEFACTINIB,PTK2B,PHASE_3,0.0,-1.3932610920384718
RAMIPRIL,ACE,APPROVAL,0.0,-1.3932610920384718
TRANDOLAPRIL,ACE,APPROVAL,0.0,-1.3932610920384718
GEMTUZUMAB OZOGAMICIN,CD33,APPROVAL,0.0,-1.3778790674938353
CONTELTINIB,PTK2B,PHASE_1_2,0.0,-1.3627702877384937
VERDIPERSTAT,MPO,PHASE_3,0.0,-1.3627702877384937
LISINOPRIL,ACE,APPROVAL,0.0,-1.3627702877384937
FOSINOPRIL,ACE,APPROVAL,0.0,-1.3627702877384937
BENAZEPRIL HYDROCHLORIDE,ACE,APPROVAL,0.0,-1.3189867426920032
MOEXIPRIL HYDROCHLORIDE,ACE,APPROVAL,0.0,-1.3189867426920032
ENALAPRILAT,ACE,APPROVAL,0.0,-1.3048765086025202
DELAPRIL,ACE,APPROVAL,0.0,-1.3048765086025202
MOEXIPRIL,ACE,APPROVAL,0.0,-1.2909944487358056
IMIDAPRIL,ACE,APPROVAL,0.0,-1.27733274731701
ENALAPRIL MALEATE,ACE,APPROVAL,0.0,-1.27733274731701
PERINDOPRIL ERBUMINE,ACE,APPROVAL,0.0,-1.2375966910186262
PERINDOPRIL ARGININE,ACE,APPROVAL,0.0,-1.2120791238484125
QUINAPRIL HYDROCHLORIDE,ACE,APPROVAL,0.0,-1.1872820028185669
QUINAPRIL,ACE,APPROVAL,0.0,-1.1872820028185667
SERALUTINIB,CSF1R; PDGFRB,PHASE_3,0.5,-1.1720180773462385
NERATINIB MALEATE,EGFR; ERBB4,APPROVAL,0.5,-1.0993221803693538
RG-4733,PSEN1; PSEN2; APH1B; PSENEN; APH1A; NCSTN,PHASE_2,0.5,-1.0776318121606492
MIROCOCEPT,CR1,PHASE_3,0.0,-1.0408329997330663
VANDETANIB,EPHA1; EGFR; SRC; KDR; ERBB4,APPROVAL,0.6,-1.0256451881367417
CANERTINIB,EGFR; ERBB4,PHASE_2,0.5,-1.024114194069552
POZIOTINIB,EGFR; ERBB4,PHASE_3,0.5,-1.0195857032052136
DACOMITINIB ANHYDROUS,EGFR; ERBB4,PHASE_2,0.5,-1.018956623527491
AEE-788,EGFR; KDR,PHASE_1_2,0.5,-0.9943767126843689
AC-480,EGFR; ERBB4,PHASE_2,0.5,-0.9898960039760462
NIROGACESTAT HYDROBROMIDE,PSEN1; PSEN2; APH1B; PSENEN; APH1A; NCSTN,APPROVAL,0.5,-0.9456749853775336
NERATINIB,EGFR; ERBB4,APPROVAL,0.5,-0.942201716078108
TARLOXOTINIB,EGFR; ERBB4,PHASE_2,0.5,-0.9108988491910853
CANERTINIB DIHYDROCHLORIDE,EGFR; ERBB4,PHASE_2,0.5,-0.8882053623194084
AFATINIB DIMALEATE,EGFR; ERBB4,APPROVAL,0.5,-0.8835100997653139
DACOMITINIB,EGFR; ERBB4,APPROVAL,0.5,-0.8639102097764207
KBP5209,EGFR; ERBB4,PHASE_1,0.5,-0.8553372034476996
PAZOPANIB,CSF1R; KDR; PDGFRB,APPROVAL,0.6666666666666666,-0.8274381283685006
IMGATUZUMAB,EGFR; FCGR3A,PHASE_2,0.5,-0.8036143754318459
AFATINIB,EGFR; ERBB4,APPROVAL,0.5,-0.7826881802794917
SUNITINIB,CSF1R; KDR; PDGFRB,APPROVAL,0.6666666666666666,-0.7748548896567706
VATALANIB,CSF1R; KDR; PDGFRB,PHASE_3,0.6666666666666666,-0.7363579687322451
PAZOPANIB HYDROCHLORIDE,CSF1R; KDR; PDGFRB,APPROVAL,0.6666666666666666,-0.7153499588781028
SUNITINIB MALATE,CSF1R; KDR; PDGFRB,APPROVAL,0.6666666666666666,-0.7144895648635254
LINIFANIB,CSF1R; KDR; PDGFRB,PHASE_3,0.6666666666666666,-0.6106580268910353
BMS-690514,EGFR; KDR; ERBB4,PHASE_2,0.6666666666666666,-0.41602514716892214
DIPYRIDAMOLE,PDE4B; PDE3A,APPROVAL,0.0,-0.316227766016838
OXTRIPHYLLINE,PDE4B; PDE3A,APPROVAL,0.0,-0.30478873808490364
THEOPHYLLINE,PDE4B; PDE3A,APPROVAL,0.0,-0.3047887380849036
ENSIFENTRINE,PDE4B; PDE3A,APPROVAL,0.0,-0.29488391230979427
DYPHYLLINE,PDE4B; PDE3A,APPROVAL,0.0,-0.2847473987257497
IBUDILAST,PDE4B; PDE3A,APPROVAL,0.0,-0.26366402215232193
PENTOXIFYLLINE,PDE4B; PDE3A,APPROVAL,0.0,-0.26366402215232193
DRONEDARONE HYDROCHLORIDE,HCN4,APPROVAL,0.0,-0.2412489548185819
INAMRINONE LACTATE,PDE3A,APPROVAL,0.0,-0.2412489548185819
OGLEMILAST,PDE4B,PHASE_2,0.0,-0.2412489548185819
TRANIMILAST,PDE4B,PHASE_3,0.0,-0.2412489548185819
IVABRADINE,HCN4,APPROVAL,0.0,-0.2412489548185819
DRONEDARONE,HCN4,APPROVAL,0.0,-0.22941573387056183
K-134,PDE3A,PHASE_2,0.0,-0.2294157338705618
LEVOSIMENDAN,PDE3A,APPROVAL,0.0,-0.21707238158772646
ANAGRELIDE HYDROCHLORIDE,PDE3A,APPROVAL,0.0,-0.21707238158772646
FLAVOXATE HYDROCHLORIDE,PDE4B,APPROVAL,0.0,-0.21707238158772646
MK-0873,PDE4B,PHASE_2,0.0,-0.21707238158772646
ME-344,MT-ND1,PHASE_1_2,0.0,-0.21707238158772646
METFORMIN HYDROCHLORIDE,MT-ND1,APPROVAL,0.0,-0.21707238158772643
DOVRAMILAST,PDE4B,PHASE_2,0.0,-0.20412414523193154
CRISABOROLE,PDE4B,APPROVAL,0.0,-0.2041241452319315
DIFAMILAST,PDE4B,PHASE_3,0.0,-0.20412414523193148
MILRINONE,PDE3A,APPROVAL,0.0,-0.20412414523193148
