drug_name,targets,max_clinical_stage,real_distance,z_score
AMEDIPLASE,PLG,PHASE_3,1.0,0.6624567313140607
IBI-939,TIGIT,PHASE_1,1.0,0.6624567313140607
ECHOTHIOPHATE,ACHE,APPROVAL,1.0,0.6624567313140607
FORETINIB,KDR; PDGFRB,PHASE_2,1.0,0.6644105970267495
REGORAFENIB,KDR; PDGFRB,APPROVAL,1.0,0.6659496553711424
RIVASTIGMINE TARTRATE,ACHE,APPROVAL,1.0,0.6702800625998365
ECHOTHIOPHATE IODIDE,ACHE,APPROVAL,1.0,0.6702800625998365
BAY-1082439,PIK3CB; PIK3CA,PHASE_1,1.0,0.6721182840266393
AFLIBERCEPT,PGF,APPROVAL,1.0,0.6781253679066577
HEXAFLUORENIUM BROMIDE,ACHE,APPROVAL,1.0,0.6781253679066578
PYRIDOSTIGMINE BROMIDE,ACHE,APPROVAL,1.0,0.6781253679066578
TAK-593,KDR; PDGFRB,PHASE_1,1.0,0.6818994171567121
ORANTINIB,KDR; PDGFRB,PHASE_3,1.0,0.6844983332431563
TB-403,PGF,PHASE_2,1.0,0.6859943405700352
FAMITINIB,KDR; PDGFRB,PHASE_3,1.0,0.6873958750278003
XL-820,KDR; PDGFRB,PHASE_2,1.0,0.6876091310453742
SU-014813,KDR; PDGFRB,PHASE_2,1.0,0.6886771092482258
NEOSTIGMINE,ACHE,APPROVAL,1.0,0.6938886664887108
ITOPRIDE,ACHE,APPROVAL,1.0,0.6938886664887108
DEMECARIUM BROMIDE,ACHE,APPROVAL,1.0,0.6938886664887108
PEGCETACOPLAN,C3,APPROVAL,1.0,0.6938886664887108
MINAPRINE,ACHE,APPROVAL,1.0,0.7018100265975371
NINTEDANIB,KDR; PDGFRB,APPROVAL,1.0,0.7071067811865472
PYRIDOSTIGMINE,ACHE,APPROVAL,1.0,0.709760099256249
GSK-1995057,TNFRSF1A,PHASE_1,1.0,0.709760099256249
X-82,KDR; PDGFRB,PHASE_2,1.0,0.7165107536316873
APRATASTAT,ADAM17,PHASE_2,1.0,0.7177405625652733
AZD-8186,PIK3CB; PIK3CD,PHASE_1_2,1.0,0.7226422815193234
AMY-101,C3,PHASE_2,1.0,0.7257530966188903
PHYSOSTIGMINE,ACHE,APPROVAL,1.0,0.7257530966188903
ACOTIAMIDE,ACHE,APPROVAL,1.0,0.7257530966188903
EDROPHONIUM,ACHE,APPROVAL,1.0,0.7257530966188903
SORAFENIB,KDR; PDGFRB,APPROVAL,1.0,0.7293249574894727
MINAPRINE HYDROCHLORIDE,ACHE,UNKNOWN,1.0,0.7337993857053428
PRASINEZUMAB,SNCA,PHASE_3,1.0,0.7337993857053428
XL-999,KDR; PDGFRB,PHASE_2,1.0,0.7347962976909099
MOTESANIB,KDR; PDGFRB,PHASE_3,1.0,0.7398102321278024
PHYSOSTIGMINE SALICYLATE,ACHE,UNKNOWN,1.0,0.7418811204628574
JI-101,KDR; PDGFRB,PHASE_2,1.0,0.7420481391473773
TIVOZANIB,KDR; PDGFRB,APPROVAL,1.0,0.7462171782204501
BOSUTINIB,HCK; LYN; SRC,APPROVAL,1.0,0.7502086799779953
NINTEDANIB ESYLATE,KDR; PDGFRB,APPROVAL,1.0,0.754202713008559
RG-1530,KDR; PDGFRB,PHASE_1,1.0,0.7616249060029486
CINPANEMAB,SNCA,PHASE_2,1.0,0.7663560447348134
PRALIDOXIME CHLORIDE,ACHE,APPROVAL,1.0,0.7663560447348134
COPANLISIB,PIK3CD; PIK3CA,APPROVAL,1.0,0.7741059134027268
CEDIRANIB,KDR; PDGFRB,APPROVAL,1.0,0.7745966692414833
BRONTICTUZUMAB,NOTCH1,PHASE_1,1.0,0.7745966692414834
FIMEPINOSTAT,PIK3CB; PIK3CD; PIK3CA,PHASE_2,1.0,0.7813966784071026
COPANLISIB HYDROCHLORIDE,PIK3CD; PIK3CA,APPROVAL,1.0,0.7870069224543376
DOVITINIB,KDR; PDGFRB,PHASE_3,1.0,0.7904010449226468
CM-082,KDR; PDGFRB,PHASE_2,1.0,0.7944947400156236
MIDOSTAURIN,KDR; PDGFRB,APPROVAL,1.0,0.7945949754189542
PRALIDOXIME,ACHE,PHASE_2,1.0,0.8080176743014172
TIRAGOLUMAB,TIGIT,PHASE_3,1.0,0.816496580927726
ETIGILIMAB,TIGIT,PHASE_2,1.0,0.8164965809277261
AZD-1236,MMP9; MME,PHASE_2,1.0,0.956079799095786
XL-228,HCK; LYN; SRC; FYN,PHASE_1,1.0,0.9694387332771244
BMS-779788,NR1H2,PHASE_1,1.0,0.9704367948586523
DACTOLISIB,PIK3R1; PIK3R2; PIK3R3; PIK3CB; PIK3CD; PIK3CA,PHASE_3,1.0,1.0084152956251229
PICTILISIB,PIK3R1; PIK3R2; PIK3R3; PIK3CB; PIK3CD; PIK3CA,PHASE_2,1.0,1.0226010182522915
PF-04691502,PIK3R1; PIK3R2; PIK3R3; PIK3CB; PIK3CD; PIK3CA,PHASE_2,1.0,1.03204717875895
RECILISIB,PIK3R1; PIK3R2; PIK3R3; PIK3CB; PIK3CD; PIK3CA,PHASE_1,1.0,1.1083376093354451
SONOLISIB,PIK3R1; PIK3R2; PIK3R3; PIK3CB; PIK3CD; PIK3CA,PHASE_2,1.0,1.11058055451306
GSK-1059615,PIK3R1; PIK3R2; PIK3R3; PIK3CB; PIK3CD; PIK3CA,PHASE_1,1.0,1.11111111111111
PAXALISIB,PIK3R1; PIK3R2; PIK3R3; PIK3CB; PIK3CD; PIK3CA,PHASE_2_3,1.0,1.1114922750264775
ENMD-981693,HCK; LYN; SRC; FYN; KDR; PDGFRB,PHASE_2,1.0,1.1139075246241747
OMIPALISIB,PIK3R1; PIK3R2; PIK3R3; PIK3CB; PIK3CD; PIK3CA,PHASE_1,1.0,1.1154656016714337
ZSTK-474,PIK3R1; PIK3R2; PIK3R3; PIK3CB; PIK3CD; PIK3CA,PHASE_1,1.0,1.1225636418816374
APITOLISIB,PIK3R1; PIK3R2; PIK3R3; PIK3CB; PIK3CD; PIK3CA,PHASE_2,1.0,1.12733906689954
BGT-226,PIK3R1; PIK3R2; PIK3R3; PIK3CB; PIK3CD; PIK3CA,PHASE_1_2,1.0,1.1519217252520102
VOXTALISIB,PIK3R1; PIK3R2; PIK3R3; PIK3CB; PIK3CD; PIK3CA,PHASE_2,1.0,1.1587867289140292
WX-037,PIK3R1; PIK3R2; PIK3R3; PIK3CB; PIK3CD; PIK3CA,PHASE_1,1.0,1.1589846794732035
LXR-623,NR1H3; NR1H2,PHASE_1,1.0,1.1604219545272692
PILARALISIB,PIK3R1; PIK3R2; PIK3R3; PIK3CB; PIK3CD; PIK3CA,PHASE_2,1.0,1.1684712565567803
BUPARLISIB,PIK3R1; PIK3R2; PIK3R3; PIK3CB; PIK3CD; PIK3CA,PHASE_3,1.0,1.17673224044007
PANULISIB,PIK3R1; PIK3R2; PIK3R3; PIK3CB; PIK3CD; PIK3CA,PHASE_1,1.0,1.1998109559346177
TASELISIB,PIK3R1; PIK3R2; PIK3R3; PIK3CB; PIK3CD; PIK3CA,PHASE_3,1.0,1.2047690202835326
GEDATOLISIB,PIK3R1; PIK3R2; PIK3R3; PIK3CB; PIK3CD; PIK3CA,PHASE_3,1.0,1.212203944025849
IZORLISIB,PIK3R1; PIK3R2; PIK3R3; PIK3CB; PIK3CD; PIK3CA,PHASE_1_2,1.0,1.215985234231114
SAMOTOLISIB,PIK3R1; PIK3R2; PIK3R3; PIK3CB; PIK3CD; PIK3CA,PHASE_2,1.0,1.2165740842645922
ILORASERTIB,HCK; LYN; SRC; FYN; KDR; PDGFRB,PHASE_2,1.0,1.2250665547085096
AZD-6482,PIK3R1; PIK3R2; PIK3R3; PIK3CB; PIK3CD; PIK3CA,UNKNOWN,1.0,1.2298373876248851
VS-5584,PIK3R1; PIK3R2; PIK3R3; PIK3CB; PIK3CD; PIK3CA,PHASE_1,1.0,1.2318776436666974
CS-8080,NR1H3; NR1H2,PHASE_1,1.0,1.2367076610763963
TG100-801,HCK; LYN; SRC; FYN; KDR; PDGFRB,PHASE_2,1.0,1.2696221085454773
DS-7423,PIK3R1; PIK3R2; PIK3R3; PIK3CB; PIK3CD; PIK3CA,PHASE_1,1.0,1.2763521809703786
ROVAZOLAC,NR1H3; NR1H2,PHASE_2,1.0,1.2784444499536778
HYODEOXYCHOLIC_ACID,NR1H3; NR1H2,PHASE_1,1.0,1.283636865895977
SF-1126,PIK3R1; PIK3R2; PIK3R3; PIK3CB; PIK3CD; PIK3CA,PHASE_2,1.0,1.2841641830691461
BMS-852927,NR1H3; NR1H2,PHASE_1,1.0,1.325767201538631
ABEQUOLIXRON,NR1H3; NR1H2,PHASE_1_2,1.0,1.4769508609851287
