"drug_name","targets","max_clinical_stage","real_distance","z_score"
"AFATINIB DIMALEATE","EGFR; ERBB4","APPROVAL",0.5,-1.06853460601329
"NIROGACESTAT HYDROBROMIDE","PSEN1; PSEN2; APH1B; PSENEN; APH1A; NCSTN","APPROVAL",0.5,-1.06179858451247
"KBP5209","EGFR; ERBB4","PHASE_1",0.5,-1.04759375868262
"AFATINIB","EGFR; ERBB4","APPROVAL",0.5,-1.04340133985285
"AC-480","EGFR; ERBB4","PHASE_2",0.5,-1.03710410609743
"AEE-788","EGFR; KDR","PHASE_1_2",0.5,-1.01156096113547
"DACOMITINIB","EGFR; ERBB4","APPROVAL",0.5,-1.00167425790266
"TARLOXOTINIB","EGFR; ERBB4","PHASE_2",0.5,-0.958668765281689
"CANERTINIB DIHYDROCHLORIDE","EGFR; ERBB4","PHASE_2",0.5,-0.953686604355877
"NERATINIB MALEATE","EGFR; ERBB4","APPROVAL",0.5,-0.903485698706399
"VATALANIB","CSF1R; KDR; PDGFRB","PHASE_3",0.666666666666667,-0.898940444441084
"SUNITINIB","CSF1R; KDR; PDGFRB","APPROVAL",0.666666666666667,-0.884252924417497
"POZIOTINIB","EGFR; ERBB4","PHASE_3",0.5,-0.836847929751542
"DACOMITINIB ANHYDROUS","EGFR; ERBB4","PHASE_2",0.5,-0.836449162798596
"IMGATUZUMAB","EGFR; FCGR3A","PHASE_2",0.5,-0.833595925537432
"VANDETANIB","EPHA1; EGFR; SRC; KDR; ERBB4","APPROVAL",0.6,-0.829551626264267
"NERATINIB","EGFR; ERBB4","APPROVAL",0.5,-0.736257550200044
"PAZOPANIB","CSF1R; KDR; PDGFRB","APPROVAL",0.666666666666667,-0.73165084960164
"SUNITINIB MALATE","CSF1R; KDR; PDGFRB","APPROVAL",0.666666666666667,-0.730500708361191
"PAZOPANIB HYDROCHLORIDE","CSF1R; KDR; PDGFRB","APPROVAL",0.666666666666667,-0.715698556105413
"LINIFANIB","CSF1R; KDR; PDGFRB","PHASE_3",0.666666666666667,-0.713478026612766
